NAME,POPOS_ADDRESS,HOURS,TYPE,LANDSCAPING,SEATING_No,FOOD_SERVICE,Art,RESTROOMS,Accessibility,LOCATION,YEAR,SOURCE,Food,Seating,Description,Seating_and_Tables,Hours_Type,Subject_To_Downtown_PLN,Signage,Amenities,BLOCK_NUM,LOT_NUM,PARCEL_NUM,Restroom,Indoor,Special_Amenities,Map ID,the_geom,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,:@computed_region_rxqg_mtj9,:@computed_region_yftq_j783,:@computed_region_jx4q_fizf,:@computed_region_bh8s_q3mv,Neighborhoods
555 Mission St,555 Mission St,Open at all times,Plaza,"9 trees, permeable gravel, bushes",100 linear seats and benches.,Yes,Yes,Yes,Direct,"Western side of Building, street level.",2008,,Y,Y,This large plaza has several art and landscaping features. It is located in front of 555 Mission Streets and runs along the west side of the building. There are several distinct sitting areas with different styles of seating.,Y,Open At All Times,Yes,"3 signs. 2 old, one current compliant",,3721,089,3721089,true,,,1,POINT (-122.39891 37.7884),32,1,10,8,9,12,2,28855,32
55 Second St - C,55 Second St,"8AM - 6PM, M-F",Atrium,"A few planters, interesting paving, Art on walls.",4 benches (8 seats) along walls of gallery space.,No,Yes,"Yes, through main lobby at reception desk (ID required)",13080,Entrance from Stevenson Street,2002,,,Y,,,Open Business Hours,Yes,Yes,,3708,096,3708096,true,true,,20,POINT (-122.400283 37.789),108,6,10,8,9,12,2,28855,108
1 Bush Street,1 Bush Street,Open at all times,Urban Garden,Willow Trees and planting. Interseting architectural design,None besides steps.,No,Yes,No,Indirect,Below street level,1959,,,,This Urban Garden provides a sunken space featuring a water fountain. Space is accessed with stairs from Bush Street and curved walkways from Market street.,N,Open At All Times,No,None,,0290,011,0290011,,,,70,POINT (-122.4004526 37.79098054),108,6,3,8,10,4,1,28854,108
560 Mission St,560 Mission St,Open at all times,"Plaza, Indoor Park","bamboo, other trees.",64 movable chairs with 15 tables. 134 linear seating on ledges. 30+ linear bench seats,Yes,Yes,Yes,Direct,Plaza: NE side of building; indoor park/arcade along anthony st.,2002,,Y,Y,"This large plaza features a sculpture in a pool of water, a large bamboo grove, and various forms of seating. It is served by a cafe.",Y,Open At All Times,Yes,3 signs. One was small on seat of ledge seating. Other was off to the side. One compliant sign on Jessie St entrance.,,3708,095,3708095,true,,,6,POINT (-122.39908 37.78892),108,6,10,8,9,12,2,28855,108
199 Fremont St,199 Fremont St,Open at all times,Urban Garden,"15 trees, large planters, boulders",Rock planter box seating. Approx 114 linear seats plus 17 individual rocks,Café,Yes,No,Direct,On the howard street frontage,2000,,Y,Y,"This large plaza space features extensive rock landscaping and artwork. There are two adjoined areas, one of which has food service.",,Open At All Times,Yes,"yes, on Fremont entrance side",,3719,018,3719018,true,,,11,POINT (-122.39491 37.78967),32,1,10,8,9,12,2,28855,32
Redwood Park,535 Washington St,Not posted. Closes before 6pm,Urban Park,"Many redwood trees, diverse ground cover and plantings, flowers, shrubs. Multiple smaller spaces defined within park","100+ linear seats on boxes, room for 30+ on steps. No movable.",No,Yes,No,Direct,,1972,,Y,Y,"This extensively landscaped urban park offers redwood trees at the foot of the Transamerica Pyramid. It features, a tall water fountain, sculptures, and ample seating.",Y,Open Business Hours,No,None,,0207,033,0207033,,,,57,POINT (-122.402168 37.79505236),108,6,3,6,10,3,1,28860,108
Trinity Alley,333 Bush St,Open at all times,Pedestrian Walkways,"Living plant wall, trees, tall grasses.",~ 50 linear seats with movable tables.,Yes; all along the alley,No,No,Very Direct,Within the public right of way,1983,,Y,Y,Alley way with ample seating and greenery outside multiple restaurants.,,Open At All Times,No,None visible,,0288,032,0288032,true,,,43,POINT (-122.402717 37.790618),19,6,3,8,10,4,1,28854,19
345 California St - West C,345 California St,Open at all times,Snippet,Planters with a few trees,"16 chairs, 5 tables, 50' linear seating",Sandwich shop and café,No,No,Direct,"Two snippets on either side of building main entrance, connected by walkway.",1986,,Y,Y,"Two snippets can be found on the west and east sides of the building, connected by an interior walkway. The west snippet can be entered from Sansome Street, next to the Mandarin Hotel. There is a bench and bamboo in planters. The east snippet is on the Battery Street side, served by a cafe which has several tables in front, and no plants.",Y,Open At All Times,Yes,None,,0261,017,0261017,,,,25,POINT (-122.40091 37.79263),108,6,3,8,10,4,1,28854,108
71 Stevenson St,71 Stevenson St,Open at all times,Pedestrian Walkways,"Marble paving, potted plants, fountain","Evidence that there was seating during the day, but taken away before 5pm",Multiple restaurants,No,No,Direct,Accessible from Stevenson and Jessie St.,1983,,Y,Y,"The open space connects Stevenson Street and Jessie Street, including planter boxes, a water fountaing, and seating with table outside the cafe.",,Open At All Times,No,None,,3708,029,3708029,,,,38,POINT (-122.3997831 37.78902357),108,6,10,8,9,12,2,28855,108
"Embarcadero Center West 1, 2, & 3",1-5 Embarcadero Center,Open at all times,Pedestrian walkway on ground and 2nd levels,"Trees, ferns, arbor, planters","30 tables, 107 chairs, plus planter-side seating, benches.",Yes,Yes,No,"Direct, indirect",Commercial Street between Drumm and Sansome,1985,,Y,Y,"Commercial Street throughout Embarcadero 1, 2, and 3 is a pedestrian mall on ground floor and 2nd level, which is accessed by an elaborate staircase system, flanked by waterfalls. Fountains, foliage, art work, and bench seating found throughout.",Y,Open At All Times,No,None,,0233,044,0233044,true,,,26,POINT (-122.40125 37.79446),108,6,3,6,10,3,1,28860,108
595 Market St,595 Market St,Open at all times,Plaza,No landscaping or spatial definition,Public seating only on stairs. Restaurant dominates space with private seating,Yes,No,No,Direct,,1979,,Y,,This plaza is located on 2nd. Street and Stevenson. Seating is only available on the steps beyon the table and seating provided for the food establishment.,N,Open At All Times,Voluntary POPOS,None,,3708,043,3708043,,,,53,POINT (-122.4007273 37.78900186),108,6,10,8,9,12,2,28855,108
